년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),직화물(kg),환적화물(kg),우편물(kg),수하물(kg)
Jan-24,AJT,M6,아메리제트,국제,SHE,도착,부정기,화물,0,0,0,663,0,0,0
Jan-24,ALK,UL,스리랑칸 에어라인즈,국제,CMB,도착,정기,여객,2409,10,30,132656,0,0,60226
Jan-24,ALK,UL,스리랑칸 에어라인즈,국제,CMB,출발,정기,여객,2368,15,7,135000,0,9654,65175
Jan-24,AMU,NX,마카오항공,국제,MFM,도착,정기,여객,4364,6,8,35423,0,2103,58177
Jan-24,AMU,NX,마카오항공,국제,MFM,도착,부정기,여객,133,3,0,0,0,0,1192
Jan-24,AMU,NX,마카오항공,국제,MFM,출발,정기,여객,4565,6,18,7421,0,2528,54734
Jan-24,AMU,NX,마카오항공,국제,MFM,출발,부정기,여객,56,0,0,0,0,0,742
Jan-24,ANA,NH,전일본항공,국제,NRT,도착,정기,화물,0,0,0,516275,0,41555,0
Jan-24,ANA,NH,전일본항공,국제,NRT,출발,정기,화물,0,0,0,755964,0,35855,0
Jan-24,ANZ,NZ,AIR NEW ZEALAND,국제,AKL,도착,정기,여객,2474,13,126,50750,0,743,48948
Jan-24,ANZ,NZ,AIR NEW ZEALAND,국제,AKL,출발,정기,여객,3049,16,330,115259,0,2687,77761
Jan-24,APG,Z2,필리핀에어아시아,국제,CEB,도착,정기,여객,5133,37,0,2174,0,0,42874
Jan-24,APG,Z2,필리핀에어아시아,국제,CEB,출발,정기,여객,5013,21,3,1296,0,0,35205
Jan-24,APG,Z2,필리핀에어아시아,국제,MNL,도착,정기,여객,9154,41,0,0,0,0,93161
Jan-24,APG,Z2,필리핀에어아시아,국제,MNL,출발,정기,여객,9829,36,9,21182,0,0,129523
Jan-24,APJ,MM,피치 항공,국제,HND,도착,정기,여객,5349,3,0,0,0,0,40352
Jan-24,APJ,MM,피치 항공,국제,HND,출발,정기,여객,5319,2,0,0,0,0,47645
Jan-24,APJ,MM,피치 항공,국제,KIX,도착,정기,여객,21273,26,0,0,0,0,181734
Jan-24,APJ,MM,피치 항공,국제,KIX,출발,정기,여객,21544,24,0,7845,0,0,172936
