년도,월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,노선,국가,공항,도착_출발,정기_부정기,여객_화물,운항(편),유임승객(명),무임승객(명),환승객(명),직화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2025,01,AIH,KJ,에어인천,국제,중국,중국,CGO,도착,정기,화물,3,0,0,0,19332,1583,0,0
2025,01,AIH,KJ,에어인천,국제,중국,중국,CGO,도착,부정기,화물,4,0,0,0,47797,0,0,0
2025,01,AIH,KJ,에어인천,국제,중국,중국,CGO,출발,정기,화물,3,0,0,0,20091,0,0,0
2025,01,AIH,KJ,에어인천,국제,중국,중국,CGO,출발,부정기,화물,4,0,0,0,23161,0,0,0
2025,01,AIH,KJ,에어인천,국제,중국,중국,CKG,도착,부정기,화물,8,0,0,0,105758,2792,0,0
2025,01,AIH,KJ,에어인천,국제,중국,중국,CKG,출발,부정기,화물,8,0,0,0,61742,0,0,0
2025,01,AIH,KJ,에어인천,국제,중국,중국,CTU,도착,정기,화물,12,0,0,0,162181,0,0,0
2025,01,AIH,KJ,에어인천,국제,중국,중국,CTU,출발,정기,화물,12,0,0,0,116841,0,0,0
2025,01,AIH,KJ,에어인천,국제,중국,중국,TAO,도착,정기,화물,23,0,0,0,229278,158217,0,0
2025,01,AIH,KJ,에어인천,국제,중국,중국,TAO,출발,정기,화물,23,0,0,0,171987,1557,0,0
2025,01,AIH,KJ,에어인천,국제,중국,중국,YNT,도착,정기,화물,21,0,0,0,286618,0,0,0
2025,01,AIH,KJ,에어인천,국제,중국,중국,YNT,출발,정기,화물,21,0,0,0,268349,3181,0,0
2025,01,AIH,KJ,에어인천,국제,동남아,베트남,HAN,도착,정기,화물,18,0,0,0,300285,10571,1273,0
2025,01,AIH,KJ,에어인천,국제,동남아,베트남,HAN,도착,부정기,화물,6,0,0,0,92275,1693,0,0
